Index,Frequency (Hz) ,DFT Cal,DFT Mag,Rz (Ohms),R_real,R_img,R_phase
400,9.91,413.011,562.859,7337.73584,6269.1206,3813.2,-0.5465
399,10.14,412.011,620.291,6642.21875,6030.0288,2785.2866,-0.4327
398,10.38,414.011,628.602,6586.211914,6005.1475,2704.8823,-0.4232
397,10.62,412.03,612.694,6724.89502,6169.3848,2676.3613,-0.4093
396,10.87,413.011,642.515,6428.039062,5863.6714,2633.8271,-0.4222
395,11.12,413.019,639.669,6456.762695,5869.0498,2691.4753,-0.43
394,11.38,414.019,665.904,6217.40332,5747.4941,2371.1631,-0.3913
393,11.64,412.019,662.967,6214.782227,5684.7739,2511.3477,-0.416
392,11.91,414.019,665.007,6225.791016,5734.4751,2424.1008,-0.3999
391,12.19,413.019,681.542,6060.069336,5579.1177,2365.9851,-0.4011
390,12.48,412.03,680.701,6053.028809,5546.4937,2423.9568,-0.412
389,12.77,413.019,691.388,5973.773438,5498.7793,2334.3936,-0.4015
388,13.07,412.03,682.633,6035.896973,5560.1001,2348.9014,-0.3997
387,13.37,413.03,695.806,5935.997559,5475.208,2293.0688,-0.3966
386,13.68,413.019,706.781,5843.665039,5385.5552,2268.0862,-0.3986
385,14,412.03,712.215,5785.196777,5376.1455,2136.7178,-0.3783
384,14.33,413.03,716.785,5762.260742,5327.8154,2195.0015,-0.3908
383,14.66,413.03,771.913,5350.734375,5002.937,1897.6251,-0.3625
382,15,412.03,750.267,5491.785645,5099.4849,2038.3726,-0.3803
381,15.35,413.044,780.349,5293.060059,4909.77,1977.5345,-0.3829
380,15.71,413.044,805.621,5127.021484,4758.5532,1908.5393,-0.3814
379,16.08,413.03,810.632,5095.164551,4755.1147,1830.187,-0.3674
378,16.45,413.044,792.077,5214.689453,4878.5117,1842.0399,-0.361
377,16.84,413.044,795.238,5193.959473,4859.2988,1834.2388,-0.3609
376,17.23,413.044,784.404,5265.697754,4934.73,1837.3936,-0.3564
375,17.63,413.044,786.234,5253.443359,4932.1221,1809.0994,-0.3516
374,18.04,413.059,795.006,5195.677734,4892.2046,1749.6847,-0.3435
373,18.46,415.043,790.889,5247.810059,4958.8257,1717.4282,-0.3334
372,18.89,413.03,796.051,5188.490723,4873.6694,1779.8252,-0.3501
371,19.33,411.044,773.191,5316.196777,5028.98,1723.7487,-0.3302
370,19.78,412.059,754.194,5463.576172,5202.7739,1667.8738,-0.3102
369,20.24,413.044,817.891,5050.108398,4819.4399,1508.8385,-0.3034
368,20.72,412.044,830.924,4958.86377,4735.4854,1471.5671,-0.3013
367,21.2,411.06,841.477,4884.975586,4679.021,1403.4772,-0.2914
366,21.69,412.059,863.881,4769.864746,4553.8193,1419.274,-0.3021
365,22.2,413.077,884.537,4669.987305,4416.8687,1516.593,-0.3308
364,22.72,413.077,878.301,4703.144531,4504.856,1351.2362,-0.2914
363,23.25,414.077,901.521,4593.097168,4364.9385,1429.6332,-0.3165
362,23.79,414.077,899.989,4600.913086,4402.1284,1337.7845,-0.295
361,24.34,413.098,896.377,4608.529297,4370.0991,1463.1385,-0.3231
360,24.91,412.098,873.482,4717.881836,4501.894,1411.1565,-0.3038
359,25.49,412.078,771.379,5342.093262,5131.5493,1484.9791,-0.2817
358,26.09,413.077,661.178,6247.601562,6015.9761,1685.3938,-0.2732
357,26.69,413.098,1060.889,3893.886475,3747.3354,1058.2194,-0.2752
356,27.32,412.098,1008.364,4086.802979,3923.4871,1143.7686,-0.2837
355,27.95,413.098,954.627,4327.32373,4178.5757,1124.8276,-0.263
354,28.61,413.121,894.002,4621.028809,4447.1992,1255.5179,-0.2752
353,29.27,413.121,861.757,4793.939453,4651.7822,1158.7815,-0.2441
352,29.96,413.146,825.883,5002.484375,4804.2319,1394.3486,-0.2825
351,30.65,413.146,824.662,5009.88623,4839.4277,1295.7231,-0.2616
350,31.37,413.146,789.354,5233.980469,5014.4438,1499.9675,-0.2907
349,32.1,412.147,802.9,5133.229004,4966.7729,1296.6145,-0.2554
348,32.85,413.174,838.004,4930.459473,4759.772,1286.0807,-0.2639
347,33.61,413.174,774.567,5334.261719,5162.7124,1341.9197,-0.2543
346,34.4,413.174,813.393,5079.635742,4931.4775,1217.8798,-0.2421
345,35.2,413.174,828.995,4984.037109,4850.6401,1145.3903,-0.2319
344,36.02,413.205,834.296,4952.73291,4816.0913,1155.3479,-0.2354
343,36.86,415.146,895.335,4636.763672,4533.1045,974.9571,-0.2118
